Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
demoQA_testSuite,Chrome 99.0.4844.82,,,2022-03-29 14:34:18,2022-03-29 14:38:42,4m - 23.714s,PASSED
,,,,,,,
Test Cases/demoQA,Chrome 99.0.4844.82,,,2022-03-29 14:34:18,2022-03-29 14:36:09,1m - 50.446s,PASSED
testing.pratice_Form.access(),Chrome 99.0.4844.82,,,2022-03-29 14:34:19,2022-03-29 14:35:17,58.469s,PASSED
testing.pratice_Form.click_Form(),Chrome 99.0.4844.82,,,2022-03-29 14:35:17,2022-03-29 14:35:21,3.775s,PASSED
"testing.pratice_Form.enterValue(firstName, lastName, email, gender, mobile, year_DOB, month_DOB, subject, hobbies, upload, address, state, city, screenshot)",Chrome 99.0.4844.82,,,2022-03-29 14:35:21,2022-03-29 14:36:07,45.818s,PASSED
testing.pratice_Form.end(expected_result),Chrome 99.0.4844.82,,,2022-03-29 14:36:07,2022-03-29 14:36:09,1.945s,PASSED
,,,,,,,
Test Cases/demoQA,Chrome 99.0.4844.82,,,2022-03-29 14:36:09,2022-03-29 14:37:21,1m - 11.878s,PASSED
testing.pratice_Form.access(),Chrome 99.0.4844.82,,,2022-03-29 14:36:09,2022-03-29 14:36:30,20.580s,PASSED
testing.pratice_Form.click_Form(),Chrome 99.0.4844.82,,,2022-03-29 14:36:30,2022-03-29 14:36:33,3.694s,PASSED
"testing.pratice_Form.enterValue(firstName, lastName, email, gender, mobile, year_DOB, month_DOB, subject, hobbies, upload, address, state, city, screenshot)",Chrome 99.0.4844.82,,,2022-03-29 14:36:33,2022-03-29 14:37:19,45.712s,PASSED
testing.pratice_Form.end(expected_result),Chrome 99.0.4844.82,,,2022-03-29 14:37:19,2022-03-29 14:37:21,1.884s,PASSED
,,,,,,,
Test Cases/demoQA,Chrome 99.0.4844.82,,,2022-03-29 14:37:21,2022-03-29 14:38:42,1m - 20.650s,PASSED
testing.pratice_Form.access(),Chrome 99.0.4844.82,,,2022-03-29 14:37:21,2022-03-29 14:37:48,26.831s,PASSED
testing.pratice_Form.click_Form(),Chrome 99.0.4844.82,,,2022-03-29 14:37:48,2022-03-29 14:37:52,3.648s,PASSED
"testing.pratice_Form.enterValue(firstName, lastName, email, gender, mobile, year_DOB, month_DOB, subject, hobbies, upload, address, state, city, screenshot)",Chrome 99.0.4844.82,,,2022-03-29 14:37:52,2022-03-29 14:38:40,48.205s,PASSED
testing.pratice_Form.end(expected_result),Chrome 99.0.4844.82,,,2022-03-29 14:38:40,2022-03-29 14:38:42,1.960s,PASSED
